,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
5,8,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0
9,127,0,0,0,0,0,0,0
10,748,0,0,0,0,0,0,0
11,947962,0,1,368,364,50,0,0
12,961997,167,0,0,70,19,0,0
13,961927,304,133,0,185,1,0,0
14,961746,329,667,0,438,4,0,0
15,961297,666,1045,0,991,0,0,0
16,482725,15,48220,0,1707,0,0,0
17,36185,0,20177,0,16008,0,0,0
18,489632,0,27956,0,2088,0,0,0
19,26478,0,18742,0,7736,0,0,0
20,22980,0,14744,0,8236,0,0,0
21,21278,0,11644,0,9634,0,0,0
22,20185,0,11814,0,8371,0,0,0
23,19724,0,9441,0,10283,0,0,0
24,19369,0,10853,0,8516,0,0,0
25,18764,0,9600,0,9164,0,0,0
26,18574,0,9672,0,8902,0,0,0
27,18272,0,9495,0,8777,0,0,0
28,18651,0,8039,0,10612,0,0,0
29,19504,0,8908,0,10596,0,0,0
30,18596,0,10880,0,7716,0,0,0
31,18357,0,9709,0,8648,0,0,0
32,18663,0,8056,0,10607,0,0,0
33,19010,0,10102,0,8908,0,0,0
34,18512,0,9691,0,8821,0,0,0
35,18760,0,8168,0,10592,0,0,0
36,19621,0,9057,0,10564,0,0,0
37,19578,0,10625,0,8953,0,0,0
38,18937,0,10226,0,8711,0,0,0
39,19077,0,8450,0,10627,0,0,0
40,19221,0,10333,0,8888,0,0,0
41,18709,0,9901,0,8808,0,0,0
42,18946,0,8350,0,10596,0,0,0
43,19400,0,9828,0,9572,0,0,0
44,18773,0,10655,0,8118,0,0,0
45,18725,0,8103,0,10622,0,0,0
46,19603,0,8990,0,10613,0,0,0
47,20141,0,9545,0,10596,0,0,0
48,19427,0,11987,0,7440,0,0,0
49,18692,0,8469,0,10223,0,0,0
50,19024,0,10020,0,9004,0,0,0
51,116632,224,8654,0,9536,0,0,0
52,19575,0,8739,0,10836,0,0,0
53,19400,0,11000,0,8400,0,0,0
54,18784,0,9505,0,9279,0,0,0
55,19201,0,8590,0,10611,0,0,0
56,19480,0,10040,0,9440,0,0,0
57,20062,0,8296,0,11766,0,0,0
58,21984,0,7928,0,14056,0,0,0
59,22896,0,12221,0,10675,0,0,0
60,22366,0,11706,0,10660,0,0,0
61,22658,0,10131,0,12527,0,0,0
62,23221,0,11845,0,11376,0,0,0
63,23879,0,9611,0,14268,0,0,0
64,24047,0,13438,0,10609,0,0,0
65,24438,0,10300,0,14138,0,0,0
66,24825,0,13369,0,11456,0,0,0
67,24803,0,11495,0,13308,0,0,0
68,24843,0,13148,0,11695,0,0,0
69,49974,0,49515,0,459,0,0,0
70,49514,0,49514,0,0,0,0,0
71,49515,0,49515,0,0,0,0,0
72,49581,0,49577,0,4,0,0,0
73,49985,0,49968,0,1,16,0,0
74,64689,0,49928,0,0,0,0,0
75,970359,346,48762,0,0,0,0,0
76,970359,50,122,0,345,1,0,0
77,970014,180,0,0,50,0,0,0
78,969964,10,5201,0,180,0,0,0
79,49265,0,49242,0,10,13,0,0
80,49245,0,49245,0,0,0,0,0
81,49370,0,49370,0,0,0,0,0
82,49370,0,49370,0,0,0,0,0
83,583774,2,49240,0,0,0,0,0
84,49245,0,49243,0,2,0,0,0
85,49256,0,49244,0,0,0,0,0
86,300640,45,49108,0,0,0,0,0
87,49224,0,49179,0,45,0,0,0
88,49182,0,49182,0,0,0,0,0
89,49303,0,49181,0,0,0,0,0
90,49243,0,49243,0,0,0,0,0
91,49243,0,49243,0,0,0,0,0
92,49199,0,49199,0,0,0,0,0
93,54769,0,49200,0,0,0,0,0
94,49200,0,49200,0,0,0,0,0
95,49199,0,49199,0,0,0,0,0
96,49200,0,49200,0,0,0,0,0
97,196941,0,49199,0,0,0,0,0
98,969731,1,23362,0,0,0,0,0
99,969731,1,3,0,1,0,0,0
100,969735,0,5517,1,2,0,0,0
101,49485,0,49204,0,0,0,0,0
102,49205,0,49205,0,0,0,0,0
103,49204,0,49204,0,0,0,0,0
104,49205,0,49205,0,0,0,0,0
105,590370,0,49182,0,0,0,0,0
106,49188,0,49185,0,0,0,0,0
107,49195,0,49184,0,0,0,0,0
108,324353,6,49167,0,0,0,0,0
109,49288,0,49282,0,6,0,0,0
110,49194,0,49194,0,0,0,0,0
111,49195,0,49195,0,0,0,0,0
112,49194,0,49194,0,0,0,0,0
113,49195,0,49195,0,0,0,0,0
114,49194,0,49194,0,0,0,0,0
115,49245,0,49195,0,0,0,0,0
116,49194,0,49194,0,0,0,0,0
117,49195,0,49195,0,0,0,0,0
118,49281,0,49281,0,0,0,0,0
119,196847,0,49281,0,0,0,0,0
120,969729,6,5566,0,0,0,0,0
121,969729,1,23363,0,6,0,0,0
122,969723,7,4,0,1,0,0,0
123,49458,0,49174,0,7,0,0,0
124,49156,0,49156,0,0,0,0,0
125,49159,0,49159,0,0,0,0,0
126,49159,0,49159,0,0,0,0,0
127,590611,0,49267,1,7,0,0,0
128,49267,0,49266,0,1,0,0,0
129,49179,0,49179,0,0,0,0,0
130,324326,0,49179,0,0,0,0,0
131,49179,0,49179,0,0,0,0,0
132,49178,0,49178,0,0,0,0,0
133,49179,0,49179,0,0,0,0,0
134,49178,0,49178,0,0,0,0,0
135,49179,0,49179,0,0,0,0,0
136,49229,0,49229,0,0,0,0,0
137,49278,0,49229,0,0,0,0,0
138,49183,0,49183,0,0,0,0,0
139,49184,0,49184,0,0,0,0,0
140,49183,0,49183,0,0,0,0,0
141,196898,0,49187,0,0,0,0,0
142,969723,0,5828,0,0,0,0,0
143,969723,1,5579,0,0,0,0,0
144,969723,0,23365,0,1,0,0,0
145,49434,3,49158,0,0,0,0,0
146,49349,0,49346,0,3,0,0,0
147,49182,0,49182,0,0,0,0,0
148,595878,0,49183,0,0,0,0,0
149,49182,0,49182,0,0,0,0,0
150,49183,0,49183,0,0,0,0,0
151,275537,1,49180,0,0,0,0,0
152,49183,0,49182,0,1,0,0,0
153,49182,0,49182,0,0,0,0,0
154,49183,0,49183,0,0,0,0,0
155,49233,0,49233,0,0,0,0,0
156,49233,0,49232,0,1,0,0,0
157,54752,0,49183,0,0,0,0,0
158,49219,0,49183,0,0,0,0,0
159,49183,0,49183,0,0,0,0,0
160,49182,0,49182,0,0,0,0,0
161,49161,0,49161,0,0,0,0,0
162,196714,0,49164,0,0,0,0,0
163,969719,0,49147,0,0,0,0,0
164,969719,6,11402,0,0,0,0,0
165,969720,0,12,1,5,0,0,0
166,49448,0,49177,0,0,0,0,0
167,49178,0,49178,0,0,0,0,0
168,49178,0,49178,0,0,0,0,0
169,601711,0,49178,0,0,0,0,0
170,49178,0,49178,0,0,0,0,0
171,49177,0,49177,0,0,0,0,0
172,295302,0,49178,0,0,0,0,0
173,49177,0,49177,0,0,0,0,0
174,49350,0,49350,0,0,0,0,0
175,49178,0,49177,0,0,0,0,0
176,49179,0,49178,0,0,0,0,0
177,49177,0,49177,0,0,0,0,0
178,49093,0,48091,0,1002,0,0,0
179,48075,5,48051,0,0,0,0,0
180,59471,0,48064,0,5,0,0,0
181,48074,0,48063,0,0,0,0,0
182,48064,0,48064,0,0,0,0,0
183,195658,0,48124,0,0,0,0,0
184,968638,0,30085,0,0,0,0,0
185,48079,0,48079,0,0,0,0,0
186,968638,0,12470,0,0,0,0,0
187,968638,0,10,0,0,0,0,0
188,48290,0,48078,0,0,0,0,0
189,48079,0,48079,0,0,0,0,0
190,48078,0,48078,0,0,0,0,0
191,595145,3,48070,0,0,0,0,0
192,48124,0,48121,0,3,0,0,0
193,48121,0,48121,0,0,0,0,0
194,318821,0,48075,0,0,0,0,0
195,48076,0,48076,0,0,0,0,0
196,48076,0,48076,0,0,0,0,0
197,48074,1,48073,0,0,0,0,0
198,48056,1,48054,0,1,0,0,0
199,48069,0,48059,0,1,0,0,0
200,48058,0,48058,0,0,0,0,0
201,48078,0,48059,0,0,0,0,0
202,48120,0,48120,0,0,0,0,0
203,48075,0,48074,0,0,0,0,0
204,48075,0,48075,0,0,0,0,0
205,204852,2,48068,0,0,0,0,0
206,968633,0,12331,0,2,0,0,0
207,48072,0,48072,0,0,0,0,0
208,968631,1,42562,0,0,0,0,0
209,968631,0,1,0,1,0,0,0
210,48274,0,48072,0,0,0,0,0
211,48236,0,48236,0,0,0,0,0
212,607159,0,48239,0,0,0,0,0
213,48080,0,48080,0,0,0,0,0
214,48079,0,48079,0,0,0,0,0
215,265537,0,48080,0,0,0,0,0
216,48058,0,48058,0,0,0,0,0
217,48061,0,48061,0,0,0,0,0
218,48060,0,48060,0,0,0,0,0
219,48061,0,48061,0,0,0,0,0
220,48220,9,48211,0,0,0,0,0
221,78330,0,48229,0,9,0,0,0
222,48087,0,48068,0,0,0,0,0
223,48069,0,48069,0,0,0,0,0
224,48068,0,48068,0,0,0,0,0
225,48069,0,48069,0,0,0,0,0
226,192467,0,48069,0,0,0,0,0
227,968625,0,47624,0,0,0,0,0
228,48069,0,48069,0,0,0,0,0
229,968625,0,42426,0,0,0,0,0
230,968625,0,12467,0,0,0,0,0
231,48275,0,48069,0,0,0,0,0
232,48070,0,48070,0,0,0,0,0
233,624750,0,48069,0,0,0,0,0
234,47872,0,47716,0,156,0,0,0
235,47694,0,47694,0,0,0,0,0
236,294893,0,47697,0,0,0,0,0
237,47696,0,47696,0,0,0,0,0
238,47697,0,47697,0,0,0,0,0
239,47757,0,47757,0,0,0,0,0
240,47757,0,47757,0,0,0,0,0
241,47711,0,47711,0,0,0,0,0
242,47712,0,47712,0,0,0,0,0
243,47731,0,47712,0,0,0,0,0
244,47712,0,47712,0,0,0,0,0
245,95506,0,47712,0,0,0,0,0
246,47711,0,47711,0,0,0,0,0
247,233298,0,47709,0,0,0,0,0
248,634050,0,47709,0,0,0,0,0
249,376615,0,47894,0,0,0,0,0
250,872284,0,47717,0,0,0,0,0
251,968295,0,408,0,0,0,0,0
252,143483,1,47714,0,0,0,0,0
253,47696,0,47695,1,0,0,0,0
254,626004,3,47689,0,0,0,0,0
255,47697,0,47694,0,3,0,0,0
256,47695,0,47695,0,0,0,0,0
257,281299,0,47694,0,0,0,0,0
258,47755,0,47755,0,0,0,0,0
259,47755,0,47755,0,0,0,0,0
260,47707,0,47707,0,0,0,0,0
261,53406,0,47707,0,0,0,0,0
262,47708,0,47708,0,0,0,0,0
263,47707,0,47707,0,0,0,0,0
264,47727,0,47708,0,0,0,0,0
265,47708,0,47708,0,0,0,0,0
266,95418,0,47709,0,0,0,0,0
267,47756,0,47756,0,0,0,0,0
268,233271,0,47757,0,0,0,0,0
269,626349,0,47711,0,0,0,0,0
270,376448,0,47712,0,0,0,0,0
271,859021,0,47712,0,0,0,0,0
272,968293,0,13395,0,0,0,0,0
273,143321,0,47696,0,0,0,0,0
274,47696,0,47695,0,0,0,0,0
275,639417,8,47672,0,0,0,0,0
276,47759,0,47751,0,8,0,0,0
277,47751,0,47751,0,0,0,0,0
278,280736,0,47700,0,0,0,0,0
279,47701,0,47701,0,0,0,0,0
279,47701,0,47701,0,0,0,0,0
279,47701,0,47701,0,0,0,0,0
281,66789,0,47700,0,0,0,0,0
282,47701,0,47701,0,0,0,0,0
283,47701,0,47701,0,0,0,0,0
284,47719,0,47700,0,0,0,0,0
285,47826,0,47826,0,0,0,0,0
286,95538,0,47826,0,0,0,0,0
287,47703,0,47703,0,0,0,0,0
288,232842,0,47648,0,0,0,0,0
289,639340,0,47527,0,120,0,0,0
290,375841,0,47501,0,0,0,0,0
291,858717,0,47504,0,0,0,0,0
292,968146,0,1005,0,0,0,0,0
293,142698,0,47504,0,0,0,0,0
294,47567,0,47566,0,0,0,0,0
295,620165,0,47566,0,0,0,0,0
296,47522,0,47522,0,0,0,0,0
297,47521,0,47521,0,0,0,0,0
298,286297,0,47522,0,0,0,0,0
299,47521,0,47521,0,0,0,0,0
300,47522,0,47522,0,0,0,0,0
301,47521,0,47521,0,0,0,0,0
302,47519,0,47519,0,0,0,0,0
303,47573,0,47573,0,0,0,0,0
304,47573,0,47573,0,0,0,0,0
305,47541,0,47522,0,0,0,0,0
306,47523,0,47523,0,0,0,0,0
307,95047,1,47519,0,0,0,0,0
308,47502,0,47501,1,0,0,0,0
309,238467,82,47258,0,0,0,0,0
310,618056,0,47421,0,82,0,0,0
311,1,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0
316,5,0,0,0,0,0,0,0
